#GEN	x_best	f(x_best)	#eval
0	[2.9866634  3.94515024]	24.484368704690617	1024
1	[0.01594846 0.06806749]	0.0048875360035240374	2048
2	[ 0.06342438 -0.03463017]	0.005221901085261064	3072
3	[-0.0083802  -0.01683696]	0.00035371102640863227	4096
4	[-0.01519105 -0.01281945]	0.000395106431844326	5120
5	[0.00603808 0.00578844]	6.99644476269811e-05	6144
6	[-0.00158513  0.00335347]	1.3758411633117113e-05	7168
7	[ 0.01581878 -0.00547197]	0.0002801762241857295	8192
8	[0.00905913 0.00245569]	8.809823498670633e-05	9216
9	[-0.00630507 -0.01359448]	0.00022456367099539184	10240
10	[-0.00018939  0.00897892]	8.065690307039935e-05	11264
11	[ 0.0111316  -0.00783831]	0.00018535172599982137	12288
12	[-0.00114996 -0.00707333]	5.1354448127359205e-05	13312
13	[-0.00787904 -0.0095075 ]	0.00015247192294300907	14336
14	[-0.00955997  0.00191994]	9.507923826368531e-05	15360
15	[0.00427802 0.00249852]	2.4544097713724096e-05	16384
16	[-0.02134766 -0.00210546]	0.00046015532869223973	17408
17	[0.01076979 0.00181987]	0.00011930022933520419	18432
18	[ 0.00176532 -0.01577777]	0.0002520542987925124	19456
19	[-0.01525691  0.0035673 ]	0.00024549906324024365	20480
20	[-0.00605223  0.02008993]	0.0004402346383990265	21504
21	[ 0.0154469  -0.00911778]	0.0003217406402705789	22528
22	[-0.01050635 -0.00248646]	0.00011656581306135733	23552
23	[0.00681969 0.00217082]	5.122060886506162e-05	24576
24	[-0.0111153  -0.00042476]	0.00012373037469222306	25600
25	[0.00876158 0.00627539]	0.00011614577172789969	26624
26	[0.00276922 0.01682149]	0.0002906310040463652	27648
27	[0.00359764 0.00183551]	1.63121203992283e-05	28672
28	[-0.00930744 -0.0106871 ]	0.00020084259823516414	29696
29	[-0.00523709  0.00033229]	2.7537490399941363e-05	30720
30	[ 0.01562372 -0.00137713]	0.0002459972276635372	31744
31	[ 0.00255686 -0.00328173]	1.7307285189425083e-05	32768
32	[ 0.00109257 -0.00623399]	4.005635219999281e-05	33792
33	[ 0.01738076 -0.00011604]	0.00030210443589532426	34816
34	[0.00246247 0.00283993]	1.4128946695382247e-05	35840
35	[-0.00054384 -0.00395629]	1.594797501241979e-05	36864
36	[0.00248665 0.00105094]	7.28792474674633e-06	37888
37	[-0.00923693 -0.00485071]	0.00010885018493641594	38912
38	[-0.01991903  0.0063128 ]	0.00043661907375692615	39936
39	[-0.00469515 -0.01293232]	0.000189289297019351	40960
40	[ 0.00913268 -0.00912749]	0.0001667169362287517	41984
41	[0.0028513 0.0076713]	6.697876483731552e-05	43008
42	[ 0.00276608 -0.00486703]	3.133921696978202e-05	44032
43	[ 0.01423611 -0.00745823]	0.0002582919663658523	45056
44	[-0.01212137 -0.01116063]	0.0002714873324851185	46080
45	[ 0.01099577 -0.02445489]	0.0007189483935798519	47104
46	[-0.00953269  0.00018211]	9.090526192752452e-05	48128
47	[-0.01205794  0.01311685]	0.0003174455508294802	49152
48	[0.02032944 0.00629185]	0.00045287355126155703	50176
49	[ 0.00783679 -0.01558361]	0.00030426408590961053	51200
50	[-0.01641165  0.00716548]	0.00032068635046545536	52224
51	[ 0.00722152 -0.00179073]	5.5357141818432044e-05	53248
52	[-0.00248907  0.01652888]	0.0002793994780013801	54272
53	[-0.01075576  0.01411579]	0.00031494186829792857	55296
54	[ 0.00952576 -0.00045837]	9.095019286640238e-05	56320
55	[-0.01476181 -0.00609037]	0.00025500356751925133	57344
56	[-0.00591154 -0.00674369]	8.04236628464633e-05	58368
57	[-0.00830767  0.01022772]	0.00017362368612016638	59392
58	[0.00301923 0.00504789]	3.459694063658759e-05	60416
59	[0.00521912 0.01386512]	0.00021948087974153337	61440
60	[-0.01099908 -0.00134306]	0.00012278367035939167	62464
61	[ 0.01125067 -0.00813446]	0.00019274693769447777	63488
62	[ 0.00679331 -0.00608212]	8.314119591514544e-05	64512
63	[ 0.00469827 -0.00981529]	0.00011841360838511959	65536
64	[-0.00165392 -0.02113683]	0.0004495011476002806	66560
65	[0.01489604 0.00338877]	0.00023337585904210017	67584
66	[0.01310272 0.00522314]	0.00019896236935998068	68608
67	[-0.00206053 -0.01035371]	0.00011144516153988179	69632
68	[-0.01588056  0.00856707]	0.00032558689661170247	70656
69	[-0.00262852 -0.0055447 ]	3.765287859293267e-05	71680
70	[0.00232955 0.0054163 ]	3.4763122481809206e-05	72704
71	[0.02008556 0.01122545]	0.0005294406051899543	73728
72	[-0.01117356 -0.00974154]	0.00021974614110149151	74752
73	[ 0.00541169 -0.00345392]	4.121594058604958e-05	75776
74	[ 0.01535526 -0.00363916]	0.0002490274935523851	76800
75	[0.00745762 0.00474979]	7.817663543546277e-05	77824
76	[ 0.01076413 -0.01216567]	0.00026386996357733616	78848
77	[-0.01491987  0.00235707]	0.000228158379265757	79872
78	[0.00779401 0.00177524]	6.389812679007051e-05	80896
79	[0.00856748 0.00808423]	0.00013875646783137338	81920
80	[-0.00274532 -0.00025536]	7.601977802658017e-06	82944
81	[ 0.0112769  -0.01225383]	0.0002773249091480365	83968
82	[ 0.00329374 -0.00686589]	5.798921776287274e-05	84992
83	[ 0.01023153 -0.00416935]	0.00012206771102097293	86016
84	[ 0.01108669 -0.01129063]	0.00025039308567314323	87040
85	[ 0.01065388 -0.02292524]	0.0006390719421850025	88064
86	[0.00544853 0.00792727]	9.252801321739116e-05	89088
87	[0.00722643 0.00725005]	0.00010478444411947086	90112
88	[ 0.00151675 -0.00717583]	5.3793008470566084e-05	91136
89	[0.01324904 0.01503306]	0.0004015298659699897	92160
90	[-0.00540393 -0.00319887]	3.943521203205831e-05	93184
91	[-0.02691456  0.00038638]	0.0007245429600222435	94208
92	[-0.00757403  0.00859806]	0.00013129269457630297	95232
93	[ 0.00280084 -0.00968121]	0.0001015704626759178	96256
94	[-0.0052206   0.00489848]	5.124975274860227e-05	97280
95	[0.00762136 0.00221626]	6.299692465412611e-05	98304
96	[9.42622276e-03 3.02644981e-05]	8.885459148723086e-05	99328
97	[ 0.00338748 -0.001662  ]	1.4237292533587729e-05	100352
Result: mean = 0.25012345080349174 std = 2.4606148995949653
