#GEN	x_best	f(x_best)	#eval
0	[0.03051406 0.45168497]	0.20495041636673278	128
1	[-0.07111579 -0.30022136]	0.09519031871563148	256
2	[-0.07111579 -0.30022136]	0.09519031871563148	384
3	[-0.07111579 -0.30022136]	0.09519031871563148	512
4	[-0.07111579 -0.30022136]	0.09519031871563148	640
5	[-0.07111579 -0.30022136]	0.09519031871563148	768
6	[-0.11633888  0.06857296]	0.01823698524257127	896
7	[-0.11633888  0.06857296]	0.01823698524257127	1024
8	[-0.11633888  0.06857296]	0.01823698524257127	1152
9	[-0.07444311  0.10257173]	0.016062736060220476	1280
10	[-0.07444311  0.10257173]	0.016062736060220476	1408
11	[0.08173435 0.05953205]	0.010224570035975121	1536
12	[-0.08731355 -0.04409158]	0.00956772303512796	1664
13	[-0.07444311  0.05211556]	0.008257808260913761	1792
14	[-0.07444311  0.05211556]	0.008257808260913761	1920
15	[-0.01858244  0.07429702]	0.0058653540115433675	2048
16	[0.0028495  0.06458514]	0.004179360091288619	2176
17	[0.03355397 0.03736492]	0.0025220065630561757	2304
18	[ 0.02975321 -0.01202974]	0.0010299681474882551	2432
19	[ 0.00339029 -0.00772753]	7.120874355557886e-05	2560
20	[ 0.00339029 -0.00772753]	7.120874355557886e-05	2688
21	[ 0.00339029 -0.00772753]	7.120874355557886e-05	2816
22	[ 0.00339029 -0.00772753]	7.120874355557886e-05	2944
23	[-0.00264151  0.002751  ]	1.4545548787308007e-05	3072
24	[-0.00264151  0.002751  ]	1.4545548787308007e-05	3200
25	[-2.64150577e-03 -1.12366370e-05]	6.977679018616236e-06	3328
26	[-2.64150577e-03 -1.12366370e-05]	6.977679018616236e-06	3456
27	[ 0.00037137 -0.00052759]	4.162698182831999e-07	3584
28	[ 0.00037137 -0.00052759]	4.162698182831999e-07	3712
29	[ 0.00037137 -0.00052759]	4.162698182831999e-07	3840
30	[ 0.00037137 -0.00052759]	4.162698182831999e-07	3968
31	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4096
32	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4224
33	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4352
34	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4480
35	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4608
36	[ 0.00037137 -0.00052759]	4.162698182831999e-07	4736
37	[-8.70236709e-05  4.48173105e-04]	2.0843225117128976e-07	4864
38	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	4992
39	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5120
40	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5248
41	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5376
42	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5504
43	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5632
44	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5760
45	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	5888
46	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6016
47	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6144
48	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6272
49	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6400
50	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6528
51	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6656
52	[3.81728948e-05 3.35295459e-05]	2.581400347635488e-09	6784
53	[9.63165565e-07 2.33160589e-05]	5.445662923582442e-10	6912
54	[9.63165565e-07 2.33160589e-05]	5.445662923582442e-10	7040
55	[9.63165565e-07 2.33160589e-05]	5.445662923582442e-10	7168
56	[9.63165565e-07 2.33160589e-05]	5.445662923582442e-10	7296
57	[9.63165565e-07 2.33160589e-05]	5.445662923582442e-10	7424
